"Año";"Periodo";"Diesel";"Gasolina"
"2007";"Abril";"452,41";"166,02"
"2008";"Abril";"299,59";"121,62"
"2009";"Abril";"150,32";"69,26"
"2010";"Abril";"165,81";"65,14"
"2011";"Abril";"122,84";"43,17"
"2012";"Abril";"93,33";"33,99"
"2013";"Abril";"65,62";"23,02"
"2014";"Abril";"65,45";"23,04"
"2015";"Abril";"66,63";"30,6"
"2016";"Abril";"64,45";"38,07"
"2017";"Abril";"66,3";"49,29"
"2018";"Abril";"71,97";"76"
"2019";"Abril";"79,86";"117,56"
"2020";"Abril";"43,09";"55,49"
"2021";"Abril";"91,46";"115,09"
"2022";"Abril";"73,37";"110,1"
;;;
;;;
"Métrica":"Diesel"
"Fuente":"AEAT"
"Clasificación":""
"Unidad":"Euros"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"Gasolina"
"Fuente":"AEAT"
"Clasificación":""
"Unidad":"Euros"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/evolucion-recaudacion-impuesto-matriculaciones-tipo-combustible/17e2172f-b404-4fb0-8fa4-fc7173045541"
"Titulo":"Evolución de la recaudación por el impuesto de matriculaciones por tipo de combustible"
"Subtitulo":"Acumulado hasta diciembre"
